№ п/п,Дата,Время начала,Время окон- чания,Тип занятий,Участвуют группы,Участвуют подгруппы,Дисциплина,Число сту- дентов,Поме- щение,Преподаватель
74,04.02.2022пятница,9.0,10.3,прак. занятие,ЗУО-1911,,Международный опыт и инновационное обеспечение безопасности,21,106 (III),доц. Шевченко Виктория Борисовна
75,04.02.2022пятница,10.4,12.1,прак. занятие,ЗУО-1911,,Международный опыт и инновационное обеспечение безопасности,21,106 (III),доц. Шевченко Виктория Борисовна
76,18.04.2022понедельник,12.2,13.5,зачет,ЗУО-1911,,Экспертиза безопасности,21,106 (III),доц. Киселева Екатерина Александровна
77,18.04.2022понедельник,14.3,16.0,зачет,ЗУО-1911,,Экспертиза безопасности,21,106 (III),доц. Киселева Екатерина Александровна
78,19.04.2022вторник,12.2,13.5,защита кур. р.,ЗУО-1911,,Расчет и проектирование систем обеспечения безопасности,21,106 (III),доц. Кириллова Галина Владимировна
79,19.04.2022вторник,14.3,16.0,защита кур. р.,ЗУО-1911,,Расчет и проектирование систем обеспечения безопасности,21,106 (III),доц. Кириллова Галина Владимировна
80,19.04.2022вторник,16.1,16.55,консультация,ЗУО-1911,,Расчет и проектирование систем обеспечения безопасности,21,106 (III),доц. Кириллова Галина Владимировна
81,20.04.2022среда,12.2,13.5,зачет,ЗУО-1911,,Мониторинг безопасности,21,109 (III),доц. Киселева Екатерина Александровна
82,20.04.2022среда,14.3,16.0,зачет,ЗУО-1911,,Мониторинг безопасности,21,109 (III),доц. Киселева Екатерина Александровна
83,21.04.2022четверг,9.0,10.3,зачет,ЗУО-1911,,Международный опыт и инновационное обеспечение безопасности,21,109 (III),проф. Сачкова Оксана Сергеевна
84,21.04.2022четверг,10.4,12.1,зачет,ЗУО-1911,,Международный опыт и инновационное обеспечение безопасности,21,109 (III),проф. Сачкова Оксана Сергеевна
85,22.04.2022пятница,9.0,10.3,зачет,ЗУО-1911,,Информационные технологии в сфере безопасности,21,109 (III),доц. Климова Диана Викторовна
86,22.04.2022пятница,10.4,12.1,зачет,ЗУО-1911,,Информационные технологии в сфере безопасности,21,109 (III),доц. Климова Диана Викторовна
87,25.04.2022понедельник,9.0,10.3,защита кур. р.,ЗУО-1911,,"Технология основных производственных процессов, средства и системы защиты",21,106 (III),доц. Климова Диана Викторовна
88,25.04.2022понедельник,10.4,12.1,защита кур. р.,ЗУО-1911,,"Технология основных производственных процессов, средства и системы защиты",21,106 (III),доц. Климова Диана Викторовна
89,25.04.2022понедельник,12.2,13.05,консультация,ЗУО-1911,,"Технология основных производственных процессов, средства и системы защиты",21,106 (III),доц. Климова Диана Викторовна
90,26.04.2022вторник,9.0,10.3,диф. зачет,ЗУО-1911,,Педагогическая практика (педагогический практикум),21,106 (III),доц. Киселева Екатерина Александровна
91,26.04.2022вторник,10.4,12.1,диф. зачет,ЗУО-1911,,Педагогическая практика (педагогический практикум),21,106 (III),доц. Киселева Екатерина Александровна
92,26.04.2022вторник,12.2,13.5,выд. зад.,ЗУО-1911,,Организационно-управленческая практика,21,106 (III),доц. Киселева Екатерина Александровна
93,27.04.2022среда,9.0,10.3,экзамен,ЗУО-1911,,"Технология основных производственных процессов, средства и системы защиты",21,106 (III),доц. Климова Диана Викторовна
94,27.04.2022среда,10.4,12.1,экзамен,ЗУО-1911,,"Технология основных производственных процессов, средства и системы защиты",21,106 (III),доц. Климова Диана Викторовна
95,27.04.2022среда,12.2,13.05,консультация,ЗУО-1911,,"Управление рисками, системный анализ и моделирование",21,105 (III),проф. Завьялов Антон Михайлович
96,28.04.2022четверг,9.0,10.3,экзамен,ЗУО-1911,,"Управление рисками, системный анализ и моделирование",21,106 (III),проф. Завьялов Антон Михайлович
97,28.04.2022четверг,10.4,12.1,экзамен,ЗУО-1911,,"Управление рисками, системный анализ и моделирование",21,106 (III),проф. Завьялов Антон Михайлович
98,28.04.2022четверг,12.2,13.5,зачет,ЗУО-1911,,"Теория научных исследований, планирование и обработка экмперимента",21,106 (III),доц. Климова Диана Викторовна
99,28.04.2022четверг,14.3,16.0,зачет,ЗУО-1911,,"Теория научных исследований, планирование и обработка экмперимента",21,106 (III),доц. Климова Диана Викторовна
100,29.04.2022пятница,9.0,10.3,экзамен,ЗУО-1911,,Расчет и проектирование систем обеспечения безопасности,21,106 (III),доц. Кириллова Галина Владимировна
101,29.04.2022пятница,10.4,12.1,экзамен,ЗУО-1911,,Расчет и проектирование систем обеспечения безопасности,21,106 (III),доц. Кириллова Галина Владимировна
102,07.07.2022четверг,12.2,13.5,диф. зачет,ЗУО-1911,,Организационно-управленческая практика,21,105 (III),доц. Киселева Екатерина Александровна
103,07.07.2022четверг,14.3,16.0,диф. зачет,ЗУО-1911,,Организационно-управленческая практика,21,105 (III),доц. Киселева Екатерина Александровна
1,13.09.2021понедельник,12.2,13.5,лекция,ЗУО-2911,,Теория принятия решений и математическое моделирование в охране труда,27,124 (III),доц. Климова Диана Викторовна
2,13.09.2021понедельник,14.3,16.0,прак. занятие,ЗУО-2911,,Теория принятия решений и математическое моделирование в охране труда,27,124 (III),доц. Климова Диана Викторовна
3,14.09.2021вторник,9.0,10.3,лабор. работа,,ЗУО-2911-1,Теория принятия решений и математическое моделирование в охране труда,14,106 (III),доц. Климова Диана Викторовна
4,14.09.2021вторник,10.4,12.1,лабор. работа,,ЗУО-2911-1,Теория принятия решений и математическое моделирование в охране труда,14,106 (III),доц. Климова Диана Викторовна
5,14.09.2021вторник,12.2,13.5,лабор. работа,,ЗУО-2911-2,Теория принятия решений и математическое моделирование в охране труда,13,124 (III),доц. Климова Диана Викторовна
6,14.09.2021вторник,14.3,16.0,лабор. работа,,ЗУО-2911-2,Теория принятия решений и математическое моделирование в охране труда,13,124 (III),доц. Климова Диана Викторовна
7,15.09.2021среда,9.0,10.3,лекция,ЗУО-2911,,Управление безопасностью и охраной труда в компании,27,124 (III),проф. Завьялов Антон Михайлович
8,15.09.2021среда,10.4,12.1,лекция,ЗУО-2911,,Управление безопасностью и охраной труда в компании,27,124 (III),проф. Завьялов Антон Михайлович
9,16.09.2021четверг,9.0,10.3,лекция,,ЗУО-2911-1,Учет и расследование несчастных случаев на производстве,14,124 (III),доц. Голышева Галина Васильевна
10,16.09.2021четверг,9.0,10.3,лекция,,ЗУО-2911-2,Проектная деятельность в сфере безопасности,13,106 (III),зав. каф. Аксенов Владимир Алексеевич
11,16.09.2021четверг,10.4,12.1,лекция,,ЗУО-2911-1,Учет и расследование несчастных случаев на производстве,14,124 (III),доц. Голышева Галина Васильевна
12,16.09.2021четверг,10.4,12.1,лекция,,ЗУО-2911-2,Проектная деятельность в сфере безопасности,13,106 (III),зав. каф. Аксенов Владимир Алексеевич
13,16.09.2021четверг,12.2,13.5,лекция,ЗУО-2911,,"Управление персоналом (HR), система подготовки кадров и обучения по охране труда",27,106 (III),проф. Сачкова Оксана Сергеевна
14,16.09.2021четверг,14.3,16.0,лекция,,ЗУО-2911-2,Экспертиза вредных и опасных факторов производства,13,106 (III),проф. Сачкова Оксана Сергеевна
15,16.09.2021четверг,14.3,16.0,лекция,,ЗУО-2911-1,Управление трудовой и технологической дисциплиной,14,124 (III),доц. Медведева Вера Михайловна
16,16.09.2021четверг,16.1,17.4,лекция,,ЗУО-2911-2,Экспертиза вредных и опасных факторов производства,13,106 (III),проф. Сачкова Оксана Сергеевна
17,16.09.2021четверг,16.1,17.4,лекция,,ЗУО-2911-1,Управление трудовой и технологической дисциплиной,14,124 (III),доц. Медведева Вера Михайловна
18,17.09.2021пятница,9.0,10.3,лекция,ЗУО-2911,,Экономика и менеджмент безопасности,27,104 (III),доц. Кузнецова Екатерина Анатольевна
19,17.09.2021пятница,10.4,12.1,прак. занятие,ЗУО-2911,,Экономика и менеджмент безопасности,27,104 (III),доц. Кузнецова Екатерина Анатольевна
20,17.09.2021пятница,12.2,13.5,лекция,ЗУО-2911,,Экономика и менеджмент безопасности,27,104 (III),доц. Кузнецова Екатерина Анатольевна
21,17.09.2021пятница,14.3,16.0,прак. занятие,ЗУО-2911,,Экономика и менеджмент безопасности,27,104 (III),доц. Кузнецова Екатерина Анатольевна
22,18.09.2021суббота,10.4,12.1,прак. занятие,ЗУО-2911,,Управление безопасностью и охраной труда в компании,27,105 (III),проф. Завьялов Антон Михайлович
23,18.09.2021суббота,12.2,13.5,прак. занятие,ЗУО-2911,,Управление безопасностью и охраной труда в компании,27,105 (III),проф. Завьялов Антон Михайлович
24,20.09.2021понедельник,9.0,10.3,лабор. работа,,ЗУО-2911-1,Теория принятия решений и математическое моделирование в охране труда,14,124 (III),доц. Климова Диана Викторовна
25,20.09.2021понедельник,10.4,12.1,лабор. работа,,ЗУО-2911-1,Теория принятия решений и математическое моделирование в охране труда,14,124 (III),доц. Климова Диана Викторовна
26,20.09.2021понедельник,12.2,13.5,лабор. работа,,ЗУО-2911-2,Теория принятия решений и математическое моделирование в охране труда,13,124 (III),доц. Климова Диана Викторовна
27,20.09.2021понедельник,14.3,16.0,лабор. работа,,ЗУО-2911-2,Теория принятия решений и математическое моделирование в охране труда,13,124 (III),доц. Климова Диана Викторовна
28,21.09.2021вторник,12.2,13.5,прак. занятие,ЗУО-2911,,Управление безопасностью и охраной труда в компании,27,124 (III),проф. Завьялов Антон Михайлович
29,21.09.2021вторник,14.3,16.0,прак. занятие,ЗУО-2911,,Управление безопасностью и охраной труда в компании,27,124 (III),проф. Завьялов Антон Михайлович
30,22.09.2021среда,12.2,13.5,прак. занятие,ЗУО-2911,,Управление безопасностью и охраной труда в компании,27,124 (III),проф. Завьялов Антон Михайлович
31,22.09.2021среда,14.3,16.0,прак. занятие,ЗУО-2911,,Управление безопасностью и охраной труда в компании,27,124 (III),проф. Завьялов Антон Михайлович
32,23.09.2021четверг,9.0,10.3,прак. занятие,,ЗУО-2911-1,Учет и расследование несчастных случаев на производстве,14,106 (III),доц. Голышева Галина Васильевна
33,23.09.2021четверг,10.4,12.1,прак. занятие,,ЗУО-2911-1,Учет и расследование несчастных случаев на производстве,14,106 (III),доц. Голышева Галина Васильевна
34,23.09.2021четверг,12.2,13.5,прак. занятие,,ЗУО-2911-2,Проектная деятельность в сфере безопасности,13,106 (III),зав. каф. Аксенов Владимир Алексеевич
35,23.09.2021четверг,14.3,16.0,прак. занятие,,ЗУО-2911-2,Проектная деятельность в сфере безопасности,13,106 (III),зав. каф. Аксенов Владимир Алексеевич
36,24.09.2021пятница,9.0,10.3,лекция,ЗУО-2911,,"Страхование рисков, социальное страхование и человеческий фактор",27,106 (III),доц. Кузнецова Екатерина Анатольевна
37,24.09.2021пятница,10.4,12.1,прак. занятие,ЗУО-2911,,"Страхование рисков, социальное страхование и человеческий фактор",27,106 (III),доц. Кузнецова Екатерина Анатольевна
38,24.09.2021пятница,12.2,13.5,лекция,ЗУО-2911,,"Страхование рисков, социальное страхование и человеческий фактор",27,106 (III),доц. Кузнецова Екатерина Анатольевна
