№ п/п,Дата,Время начала,Время окон- чания,Тип занятий,Участвуют группы,Участвуют подгруппы,Дисциплина,Число сту- дентов,Поме- щение,Преподаватель
95,17.05.2022вторник,10.4,12.1,экзамен,ЗНК-1911,,Методология научных исследований,17,170 (II),проф. Чернавин Юрий Александрович
96,17.05.2022вторник,12.2,13.5,экзамен,ЗНК-1911,,Методология научных исследований,17,170 (II),проф. Чернавин Юрий Александрович
97,17.05.2022вторник,14.3,15.15,консультация,ЗНК-1911,,Компьютерные и информационные технологии в науке и производстве,17,170 (II),доц. Пирогов Евгений Николаевич
98,18.05.2022среда,9.0,10.3,экзамен,ЗНК-1911,,Техническая диагностика наземных транспортно-технологических комплексов,17,170 (II),доц. Соколов Валерий Серафимович
99,18.05.2022среда,10.4,12.1,экзамен,ЗНК-1911,,Техническая диагностика наземных транспортно-технологических комплексов,17,170 (II),доц. Соколов Валерий Серафимович
100,18.05.2022среда,12.2,13.5,зачет,ЗНК-1911,,Основы научных исследований,17,174 (II),проф. Хакимзянов Рустам Рафитович
101,18.05.2022среда,14.3,16.0,зачет,ЗНК-1911,,Основы научных исследований,17,174 (II),проф. Хакимзянов Рустам Рафитович
102,19.05.2022четверг,9.0,10.3,защита кур. р.,ЗНК-1911,,Конструирование и расчет наземных транспортно-технологических комплексов,17,170 (II),проф. Хакимзянов Рустам Рафитович
103,19.05.2022четверг,10.4,12.1,защита кур. р.,ЗНК-1911,,Конструирование и расчет наземных транспортно-технологических комплексов,17,170 (II),проф. Хакимзянов Рустам Рафитович
104,19.05.2022четверг,12.2,13.05,консультация,ЗНК-1911,,Конструирование и расчет наземных транспортно-технологических комплексов,17,170 (II),проф. Хакимзянов Рустам Рафитович
105,19.05.2022четверг,14.3,16.0,экзамен,ЗНК-1911,,Компьютерные и информационные технологии в науке и производстве,17,170 (II),доц. Пирогов Евгений Николаевич
106,19.05.2022четверг,16.1,17.4,экзамен,ЗНК-1911,,Компьютерные и информационные технологии в науке и производстве,17,170 (II),доц. Пирогов Евгений Николаевич
107,20.05.2022пятница,10.4,12.1,экзамен,ЗНК-1911,,Конструирование и расчет наземных транспортно-технологических комплексов,17,170 (II),проф. Хакимзянов Рустам Рафитович
108,20.05.2022пятница,12.2,13.5,экзамен,ЗНК-1911,,Конструирование и расчет наземных транспортно-технологических комплексов,17,170 (II),проф. Хакимзянов Рустам Рафитович
1,11.10.2021понедельник,12.2,13.5,выд. зад.,ЗНК-2911,,Технологическая (проектно-технологическая) практика,21,170 (II),проф. Сычев Вячеслав Петрович
2,11.10.2021понедельник,14.3,16.0,выд. зад.,ЗНК-2911,,Практика по получению профессиональных умений и опыта профессиональной деятельности,21,170 (II),доц. Артемьева Вера Валентиновна
3,11.10.2021понедельник,16.1,17.4,лекция,ЗНК-2911,,Конструкционная прочность,21,170 (II),доц. Пашков Алексей Владимирович
4,11.10.2021понедельник,17.5,19.2,лекция,ЗНК-2911,,Конструкционная прочность,21,170 (II),доц. Пашков Алексей Владимирович
5,12.10.2021вторник,12.2,13.5,лекция,ЗНК-2911,,Теория надежности наземных транспортно-технологических комплексов,21,170 (II),доц. Дианов Харис Ахмятович
6,12.10.2021вторник,14.3,16.0,лекция,ЗНК-2911,,Теория надежности наземных транспортно-технологических комплексов,21,170 (II),доц. Дианов Харис Ахмятович
7,12.10.2021вторник,16.1,17.4,лекция,ЗНК-2911,,Исследования и испытания наземных транспортно-технологических комплексов,21,175 (II),проф. Хакимзянов Рустам Рафитович
8,12.10.2021вторник,17.5,19.2,лекция,ЗНК-2911,,Исследования и испытания наземных транспортно-технологических комплексов,21,175 (II),проф. Хакимзянов Рустам Рафитович
9,13.10.2021среда,9.0,10.3,лекция,ЗНК-2911,,Теория надежности наземных транспортно-технологических комплексов,21,174 (II),доц. Дианов Харис Ахмятович
10,13.10.2021среда,10.4,12.1,лекция,ЗНК-2911,,Теория надежности наземных транспортно-технологических комплексов,21,174 (II),доц. Дианов Харис Ахмятович
11,13.10.2021среда,12.2,13.5,прак. занятие,ЗНК-2911,,Теория надежности наземных транспортно-технологических комплексов,21,174 (II),доц. Дианов Харис Ахмятович
12,13.10.2021среда,14.3,16.0,прак. занятие,ЗНК-2911,,Теория надежности наземных транспортно-технологических комплексов,21,175 (II),доц. Дианов Харис Ахмятович
13,14.10.2021четверг,9.0,10.3,лекция,ЗНК-2911,,Исследования и испытания наземных транспортно-технологических комплексов,21,175 (II),проф. Хакимзянов Рустам Рафитович
14,14.10.2021четверг,10.4,12.1,лекция,ЗНК-2911,,Исследования и испытания наземных транспортно-технологических комплексов,21,175 (II),проф. Хакимзянов Рустам Рафитович
15,14.10.2021четверг,12.2,13.5,лекция,ЗНК-2911,,Исследования и испытания наземных транспортно-технологических комплексов,21,175 (II),проф. Хакимзянов Рустам Рафитович
16,14.10.2021четверг,14.3,16.0,лекция,ЗНК-2911,,Исследования и испытания наземных транспортно-технологических комплексов,21,175 (II),проф. Хакимзянов Рустам Рафитович
17,15.10.2021пятница,9.0,10.3,лекция,ЗНК-2911,,Конструкционная прочность,21,170 (II),доц. Пашков Алексей Владимирович
18,15.10.2021пятница,10.4,12.1,прак. занятие,ЗНК-2911,,Конструкционная прочность,21,170 (II),доц. Пашков Алексей Владимирович
19,15.10.2021пятница,12.2,13.5,прак. занятие,ЗНК-2911,,Теория надежности наземных транспортно-технологических комплексов,21,174 (II),доц. Дианов Харис Ахмятович
20,15.10.2021пятница,14.3,16.0,прак. занятие,ЗНК-2911,,Теория надежности наземных транспортно-технологических комплексов,21,174 (II),доц. Дианов Харис Ахмятович
21,16.10.2021суббота,9.0,10.3,лекция,ЗНК-2911,,Исследования и испытания наземных транспортно-технологических комплексов,21,174 (II),проф. Хакимзянов Рустам Рафитович
22,16.10.2021суббота,10.4,12.1,лекция,ЗНК-2911,,Комплексы для строительства и ремонта автомобильных и железных дорог,21,174 (II),проф. Хакимзянов Рустам Рафитович
23,16.10.2021суббота,12.2,13.5,лекция,ЗНК-2911,,Комплексы для строительства и ремонта автомобильных и железных дорог,21,174 (II),проф. Хакимзянов Рустам Рафитович
24,16.10.2021суббота,14.3,16.0,лекция,ЗНК-2911,,Комплексы для строительства и ремонта автомобильных и железных дорог,21,174 (II),проф. Хакимзянов Рустам Рафитович
25,18.10.2021понедельник,10.4,12.1,лекция,ЗНК-2911,,Комплексы для строительства и ремонта автомобильных и железных дорог,21,175 (II),проф. Хакимзянов Рустам Рафитович
26,18.10.2021понедельник,12.2,13.5,лекция,ЗНК-2911,,Комплексы для строительства и ремонта автомобильных и железных дорог,21,175 (II),проф. Хакимзянов Рустам Рафитович
27,18.10.2021понедельник,14.3,16.0,лекция,ЗНК-2911,,Комплексы для строительства и ремонта автомобильных и железных дорог,21,175 (II),проф. Хакимзянов Рустам Рафитович
28,19.10.2021вторник,9.0,10.3,лекция,ЗНК-2911,,Комплексы для строительства и ремонта автомобильных и железных дорог,21,119 (I),проф. Хакимзянов Рустам Рафитович
29,19.10.2021вторник,10.4,12.1,прак. занятие,ЗНК-2911,,Комплексы для строительства и ремонта автомобильных и железных дорог,21,119 (I),проф. Хакимзянов Рустам Рафитович
30,19.10.2021вторник,12.2,13.5,прак. занятие,ЗНК-2911,,Исследования и испытания наземных транспортно-технологических комплексов,21,119 (I),доц. Дианов Харис Ахмятович
31,19.10.2021вторник,14.3,16.0,прак. занятие,ЗНК-2911,,Исследования и испытания наземных транспортно-технологических комплексов,21,119 (I),доц. Дианов Харис Ахмятович
32,19.10.2021вторник,16.1,17.4,прак. занятие,ЗНК-2911,,Исследования и испытания наземных транспортно-технологических комплексов,21,119 (I),доц. Дианов Харис Ахмятович
33,20.10.2021среда,12.2,13.5,прак. занятие,ЗНК-2911,,Исследования и испытания наземных транспортно-технологических комплексов,21,170 (II),доц. Дианов Харис Ахмятович
34,20.10.2021среда,14.3,16.0,прак. занятие,ЗНК-2911,,Исследования и испытания наземных транспортно-технологических комплексов,21,170 (II),доц. Дианов Харис Ахмятович
35,20.10.2021среда,16.1,17.4,прак. занятие,ЗНК-2911,,Конструкционная прочность,21,170 (II),доц. Пашков Алексей Владимирович
36,20.10.2021среда,17.5,19.2,прак. занятие,ЗНК-2911,,Конструкционная прочность,21,170 (II),доц. Пашков Алексей Владимирович
37,21.10.2021четверг,9.0,10.3,прак. занятие,ЗНК-2911,,Исследования и испытания наземных транспортно-технологических комплексов,21,170 (II),доц. Дианов Харис Ахмятович
38,21.10.2021четверг,10.4,12.1,прак. занятие,ЗНК-2911,,Исследования и испытания наземных транспортно-технологических комплексов,21,170 (II),доц. Дианов Харис Ахмятович
39,18.04.2022понедельник,12.2,13.5,прак. занятие,ЗНК-2911,,Комплексы для строительства и ремонта автомобильных и железных дорог,21,170 (II),проф. Хакимзянов Рустам Рафитович
40,18.04.2022понедельник,14.3,16.0,прак. занятие,ЗНК-2911,,Комплексы для строительства и ремонта автомобильных и железных дорог,21,170 (II),проф. Хакимзянов Рустам Рафитович
41,18.04.2022понедельник,16.1,17.4,прак. занятие,ЗНК-2911,,Комплексы для строительства и ремонта автомобильных и железных дорог,21,170 (II),проф. Хакимзянов Рустам Рафитович
42,18.04.2022понедельник,17.5,19.2,прак. занятие,ЗНК-2911,,Комплексы для строительства и ремонта автомобильных и железных дорог,21,170 (II),проф. Хакимзянов Рустам Рафитович
43,19.04.2022вторник,12.2,13.5,прак. занятие,ЗНК-2911,,Комплексы для строительства и ремонта автомобильных и железных дорог,21,170 (II),проф. Хакимзянов Рустам Рафитович
44,19.04.2022вторник,14.3,16.0,прак. занятие,ЗНК-2911,,Комплексы для строительства и ремонта автомобильных и железных дорог,21,170 (II),проф. Хакимзянов Рустам Рафитович
45,19.04.2022вторник,16.1,17.4,диф. зачет,ЗНК-2911,,Конструкционная прочность,21,119 (I),доц. Пашков Алексей Владимирович
46,19.04.2022вторник,17.5,19.2,диф. зачет,ЗНК-2911,,Конструкционная прочность,21,119 (I),доц. Пашков Алексей Владимирович
47,20.04.2022среда,9.0,10.3,защита к. пр.,ЗНК-2911,,Исследования и испытания наземных транспортно-технологических комплексов,21,174 (II),проф. Хакимзянов Рустам Рафитович
48,20.04.2022среда,10.4,12.1,защита к. пр.,ЗНК-2911,,Исследования и испытания наземных транспортно-технологических комплексов,21,174 (II),проф. Хакимзянов Рустам Рафитович
49,20.04.2022среда,12.2,13.05,консультация,ЗНК-2911,,Исследования и испытания наземных транспортно-технологических комплексов,21,175 (II),проф. Хакимзянов Рустам Рафитович
50,21.04.2022четверг,9.0,10.3,экзамен,ЗНК-2911,,Исследования и испытания наземных транспортно-технологических комплексов,21,174 (II),проф. Хакимзянов Рустам Рафитович
51,21.04.2022четверг,10.4,12.1,экзамен,ЗНК-2911,,Исследования и испытания наземных транспортно-технологических комплексов,21,174 (II),проф. Хакимзянов Рустам Рафитович
52,22.04.2022пятница,9.0,10.3,диф. зачет,ЗНК-2911,,Технологическая (проектно-технологическая) практика,21,170 (II),проф. Сычев Вячеслав Петрович
53,22.04.2022пятница,10.4,12.1,диф. зачет,ЗНК-2911,,Технологическая (проектно-технологическая) практика,21,170 (II),проф. Сычев Вячеслав Петрович
54,22.04.2022пятница,12.2,13.5,выд. зад.,ЗНК-2911,,Научно-исследовательская работа,21,170 (II),проф. Сычев Вячеслав Петрович
55,25.04.2022понедельник,9.0,10.3,защита кур. р.,ЗНК-2911,,Теория надежности наземных транспортно-технологических комплексов,21,174 (II),доц. Дианов Харис Ахмятович
56,25.04.2022понедельник,10.4,12.1,защита кур. р.,ЗНК-2911,,Теория надежности наземных транспортно-технологических комплексов,21,174 (II),доц. Дианов Харис Ахмятович
57,25.04.2022понедельник,12.2,13.05,консультация,ЗНК-2911,,Теория надежности наземных транспортно-технологических комплексов,21,174 (II),доц. Дианов Харис Ахмятович
58,26.04.2022вторник,9.0,10.3,диф. зачет,ЗНК-2911,,Практика по получению профессиональных умений и опыта профессиональной деятельности,21,174 (II),доц. Артемьева Вера Валентиновна
59,26.04.2022вторник,10.4,12.1,диф. зачет,ЗНК-2911,,Практика по получению профессиональных умений и опыта профессиональной деятельности,21,174 (II),доц. Артемьева Вера Валентиновна
60,27.04.2022среда,9.0,10.3,экзамен,ЗНК-2911,,Теория надежности наземных транспортно-технологических комплексов,21,174 (II),доц. Дианов Харис Ахмятович
61,27.04.2022среда,10.4,12.1,экзамен,ЗНК-2911,,Теория надежности наземных транспортно-технологических комплексов,21,174 (II),доц. Дианов Харис Ахмятович
62,28.04.2022четверг,9.0,10.3,защита к. пр.,ЗНК-2911,,Комплексы для строительства и ремонта автомобильных и железных дорог,21,175 (II),проф. Хакимзянов Рустам Рафитович
63,28.04.2022четверг,10.4,12.1,защита к. пр.,ЗНК-2911,,Комплексы для строительства и ремонта автомобильных и железных дорог,21,175 (II),проф. Хакимзянов Рустам Рафитович
64,28.04.2022четверг,12.2,13.05,консультация,ЗНК-2911,,Комплексы для строительства и ремонта автомобильных и железных дорог,21,175 (II),проф. Хакимзянов Рустам Рафитович
65,29.04.2022пятница,9.0,10.3,экзамен,ЗНК-2911,,Комплексы для строительства и ремонта автомобильных и железных дорог,21,175 (II),проф. Хакимзянов Рустам Рафитович
66,29.04.2022пятница,10.4,12.1,экзамен,ЗНК-2911,,Комплексы для строительства и ремонта автомобильных и железных дорог,21,175 (II),проф. Хакимзянов Рустам Рафитович
67,30.06.2022четверг,12.2,13.5,диф. зачет,ЗНК-2911,,Научно-исследовательская работа,21,174 (II),проф. Сычев Вячеслав Петрович
68,30.06.2022четверг,14.3,16.0,диф. зачет,ЗНК-2911,,Научно-исследовательская работа,21,174 (II),проф. Сычев Вячеслав Петрович
1,17.09.2021пятница,12.2,13.5,выд. зад.,ЗНК-3911,,Преддипломная практика,10,524 (I),проф. Сычев Вячеслав Петрович
2,03.12.2021пятница,12.2,13.5,диф. зачет,ЗНК-3911,,Преддипломная практика,10,170 (II),проф. Сычев Вячеслав Петрович
3,03.12.2021пятница,14.3,16.0,диф. зачет,ЗНК-3911,,Преддипломная практика,10,170 (II),проф. Сычев Вячеслав Петрович
1,22.11.2021понедельник,9.0,10.3,"лекция, вебинар Teams",ЗФЭ-1911,,Макроэкономика (продвинутый уровень),12,,доц. Маскаева Евгения Аркадьевна
2,22.11.2021понедельник,10.4,12.1,"лекция, вебинар Teams",ЗФЭ-1911,,Макроэкономика (продвинутый уровень),12,,доц. Маскаева Евгения Аркадьевна
3,22.11.2021понедельник,12.2,13.5,"лекция, вебинар Teams",ЗФЭ-1911,,Компьютерные технологии в экономической науке и образовании,12,,доц. Савченко Павел Владимирович
4,22.11.2021понедельник,14.3,16.0,"лекция, вебинар Teams",ЗФЭ-1911,,Компьютерные технологии в экономической науке и образовании,12,,доц. Савченко Павел Владимирович
5,23.11.2021вторник,9.0,10.3,"лекция, вебинар Teams",ЗФЭ-1911,,Макроэкономика (продвинутый уровень),12,,доц. Маскаева Евгения Аркадьевна
6,23.11.2021вторник,10.4,12.1,"прак. занятие, вебинар Teams",ЗФЭ-1911,,Макроэкономика (продвинутый уровень),12,,доц. Маскаева Евгения Аркадьевна
7,23.11.2021вторник,12.2,13.5,"лекция, вебинар Teams",ЗФЭ-1911,,Компьютерные технологии в экономической науке и образовании,12,,доц. Савченко Павел Владимирович
8,23.11.2021вторник,14.3,16.0,"лекция, вебинар Teams",ЗФЭ-1911,,Компьютерные технологии в экономической науке и образовании,12,,доц. Савченко Павел Владимирович
9,23.11.2021вторник,16.1,17.4,"орг. собрание, вебинар Teams",ЗФЭ-1911,,Научно-исследовательская работа,12,,зав. каф. Шкурина Лидия Владимировна
10,24.11.2021среда,9.0,10.3,"прак. занятие, вебинар Teams","ЗУС-1911, ЗФЭ-1911",,Иностранный язык (английский),26,,доц. Екимова Наталья Викторовна
11,24.11.2021среда,10.4,12.1,"прак. занятие, вебинар Teams","ЗУС-1911, ЗФЭ-1911",,Иностранный язык (английский),26,,доц. Екимова Наталья Викторовна
12,24.11.2021среда,12.2,13.5,"прак. занятие, вебинар Teams","ЗУС-1911, ЗФЭ-1911",,Иностранный язык (английский),26,,доц. Екимова Наталья Викторовна
13,24.11.2021среда,14.3,16.0,"прак. занятие, вебинар Teams","ЗУС-1911, ЗФЭ-1911",,Иностранный язык (английский),26,,доц. Екимова Наталья Викторовна
14,25.11.2021четверг,9.0,10.3,"прак. занятие, вебинар Teams","ЗУС-1911, ЗФЭ-1911",,Иностранный язык (английский),26,,доц. Екимова Наталья Викторовна
15,25.11.2021четверг,10.4,12.1,"прак. занятие, вебинар Teams","ЗУС-1911, ЗФЭ-1911",,Иностранный язык (английский),26,,доц. Екимова Наталья Викторовна
16,25.11.2021четверг,12.2,13.5,"прак. занятие, вебинар Teams","ЗУС-1911, ЗФЭ-1911",,Иностранный язык (английский),26,,доц. Екимова Наталья Викторовна
17,25.11.2021четверг,14.3,16.0,"прак. занятие, вебинар Teams","ЗУС-1911, ЗФЭ-1911",,Иностранный язык (английский),26,,доц. Екимова Наталья Викторовна
18,26.11.2021пятница,9.0,10.3,"прак. занятие, вебинар Teams","ЗУС-1911, ЗФЭ-1911",,Иностранный язык (английский),26,,доц. Екимова Наталья Викторовна
19,26.11.2021пятница,10.4,12.1,"прак. занятие, вебинар Teams","ЗУС-1911, ЗФЭ-1911",,Иностранный язык (английский),26,,доц. Екимова Наталья Викторовна
20,26.11.2021пятница,12.2,13.5,"прак. занятие, вебинар Teams","ЗУС-1911, ЗФЭ-1911",,Иностранный язык (английский),26,,доц. Екимова Наталья Викторовна
21,26.11.2021пятница,14.3,16.0,"прак. занятие, вебинар Teams","ЗУС-1911, ЗФЭ-1911",,Иностранный язык (английский),26,,доц. Екимова Наталья Викторовна
22,27.11.2021суббота,9.0,10.3,"лекция, вебинар Teams",ЗФЭ-1911,,Микроэкономика (продвинутый уровень),12,,доц. Маскаев Станислав Аркадьевич
23,27.11.2021суббота,10.4,12.1,"лекция, вебинар Teams",ЗФЭ-1911,,Микроэкономика (продвинутый уровень),12,,доц. Маскаев Станислав Аркадьевич
24,27.11.2021суббота,12.2,13.5,"прак. занятие, вебинар Teams",ЗФЭ-1911,,Микроэкономика (продвинутый уровень),12,,доц. Маскаев Станислав Аркадьевич
25,29.11.2021понедельник,9.0,10.3,"прак. занятие, вебинар Teams","ЗУС-1911, ЗФЭ-1911",,Иностранный язык (английский),26,,доц. Екимова Наталья Викторовна
26,29.11.2021понедельник,10.4,12.1,"прак. занятие, вебинар Teams","ЗУС-1911, ЗФЭ-1911",,Иностранный язык (английский),26,,доц. Екимова Наталья Викторовна
27,29.11.2021понедельник,12.2,13.5,"прак. занятие, вебинар Teams","ЗУС-1911, ЗФЭ-1911",,Иностранный язык (английский),26,,доц. Екимова Наталья Викторовна
28,29.11.2021понедельник,14.3,16.0,"прак. занятие, вебинар Teams","ЗУС-1911, ЗФЭ-1911",,Иностранный язык (английский),26,,доц. Екимова Наталья Викторовна
29,30.11.2021вторник,9.0,10.3,"прак. занятие, вебинар Teams","ЗУС-1911, ЗФЭ-1911",,Иностранный язык (английский),26,,доц. Екимова Наталья Викторовна
30,30.11.2021вторник,10.4,12.1,"прак. занятие, вебинар Teams","ЗУС-1911, ЗФЭ-1911",,Иностранный язык (английский),26,,доц. Екимова Наталья Викторовна
31,30.11.2021вторник,12.2,13.5,"прак. занятие, вебинар Teams",ЗФЭ-1911,,Компьютерные технологии в экономической науке и образовании,12,,доц. Савченко Павел Владимирович
32,30.11.2021вторник,14.3,16.0,"прак. занятие, вебинар Teams",ЗФЭ-1911,,Компьютерные технологии в экономической науке и образовании,12,,доц. Савченко Павел Владимирович
33,30.11.2021вторник,16.1,16.55,"орг. собрание, вебинар Teams","ЗУС-1911, ЗФЭ-1911",,Библиотечный урок,26,,Климова Анна Федоровна
34,01.12.2021среда,9.0,10.3,"лекция, вебинар Teams",ЗФЭ-1911,,Экономическая политика РФ на современном этапе,12,,доц. Трушина Ирина Александровна
35,01.12.2021среда,10.4,12.1,"прак. занятие, вебинар Teams",ЗФЭ-1911,,Экономическая политика РФ на современном этапе,12,,доц. Трушина Ирина Александровна
36,01.12.2021среда,12.2,13.5,"лекция, вебинар Teams",ЗФЭ-1911,,Управление экономическими рисками,12,,доц. Никифорова Анна Николаевна
37,01.12.2021среда,14.3,16.0,"прак. занятие, вебинар Teams",ЗФЭ-1911,,Управление экономическими рисками,12,,доц. Никифорова Анна Николаевна
38,02.12.2021четверг,9.0,10.3,"лекция, вебинар Teams",ЗФЭ-1911,,Инновационные стратегии,12,,доц. Минеева Светлана Сергеевна
39,02.12.2021четверг,10.4,12.1,"лекция, вебинар Teams",ЗФЭ-1911,,Инновационные стратегии,12,,доц. Минеева Светлана Сергеевна
40,02.12.2021четверг,12.2,13.5,"прак. занятие, вебинар Teams",ЗФЭ-1911,,Управление экономическими рисками,12,,доц. Никифорова Анна Николаевна
41,02.12.2021четверг,14.3,16.0,"прак. занятие, вебинар Teams",ЗФЭ-1911,,Управление экономическими рисками,12,,доц. Никифорова Анна Николаевна
42,03.12.2021пятница,9.0,10.3,"прак. занятие, вебинар Teams",ЗФЭ-1911,,Макроэкономика (продвинутый уровень),12,,доц. Маскаева Евгения Аркадьевна
43,03.12.2021пятница,10.4,12.1,"прак. занятие, вебинар Teams",ЗФЭ-1911,,Макроэкономика (продвинутый уровень),12,,доц. Маскаева Евгения Аркадьевна
44,03.12.2021пятница,12.2,13.5,"прак. занятие, вебинар Teams",ЗФЭ-1911,,Компьютерные технологии в экономической науке и образовании,12,,доц. Савченко Павел Владимирович
45,03.12.2021пятница,14.3,16.0,"прак. занятие, вебинар Teams",ЗФЭ-1911,,Компьютерные технологии в экономической науке и образовании,12,,доц. Савченко Павел Владимирович
46,04.12.2021суббота,9.0,10.3,"лекция, вебинар Teams",ЗФЭ-1911,,Микроэкономика (продвинутый уровень),12,,доц. Маскаев Станислав Аркадьевич
47,04.12.2021суббота,10.4,12.1,"прак. занятие, вебинар Teams",ЗФЭ-1911,,Микроэкономика (продвинутый уровень),12,,доц. Маскаев Станислав Аркадьевич
48,04.12.2021суббота,12.2,13.5,"прак. занятие, вебинар Teams",ЗФЭ-1911,,Микроэкономика (продвинутый уровень),12,,доц. Маскаев Станислав Аркадьевич
49,06.12.2021понедельник,9.0,10.3,"прак. занятие, вебинар Teams",ЗФЭ-1911,,Экономическая политика РФ на современном этапе,12,,доц. Трушина Ирина Александровна
50,06.12.2021понедельник,10.4,12.1,"прак. занятие, вебинар Teams",ЗФЭ-1911,,Экономическая политика РФ на современном этапе,12,,доц. Трушина Ирина Александровна
51,06.12.2021понедельник,12.2,13.5,"прак. занятие, вебинар Teams",ЗФЭ-1911,,Инновационные стратегии,12,,доц. Минеева Светлана Сергеевна
52,06.12.2021понедельник,14.3,16.0,"прак. занятие, вебинар Teams",ЗФЭ-1911,,Инновационные стратегии,12,,доц. Минеева Светлана Сергеевна
53,07.12.2021вторник,9.0,10.3,"лекция, вебинар Teams",ЗФЭ-1911,,Противодействие правонарушениям экономической направленности,12,,доц. Веригина Анастасия Валентиновна
54,07.12.2021вторник,10.4,12.1,"лекция, вебинар Teams",ЗФЭ-1911,,Проведение деловых и научных презентаций,12,,проф. Баринова Галина Викторовна
55,07.12.2021вторник,12.2,13.5,"прак. занятие, вебинар Teams",ЗФЭ-1911,,Проведение деловых и научных презентаций,12,,проф. Баринова Галина Викторовна
56,07.12.2021вторник,14.3,16.0,"прак. занятие, вебинар Teams",ЗФЭ-1911,,Инновационные стратегии,12,,доц. Минеева Светлана Сергеевна
57,08.12.2021среда,9.0,10.3,"прак. занятие, вебинар Teams",ЗФЭ-1911,,Проведение деловых и научных презентаций,12,,проф. Баринова Галина Викторовна
58,08.12.2021среда,10.4,12.1,"прак. занятие, вебинар Teams",ЗФЭ-1911,,Противодействие правонарушениям экономической направленности,12,,доц. Веригина Анастасия Валентиновна
59,08.12.2021среда,12.2,13.5,"прак. занятие, вебинар Teams",ЗФЭ-1911,,Противодействие правонарушениям экономической направленности,12,,доц. Веригина Анастасия Валентиновна
60,24.02.2022четверг,9.0,10.3,лекция,ЗФЭ-1911,,Актуальные проблемы правового обеспечения профессиональной деятельности,12,512 (I),доц. Ордина Ольга Николаевна
61,24.02.2022четверг,10.4,12.1,прак. занятие,ЗФЭ-1911,,Актуальные проблемы правового обеспечения профессиональной деятельности,12,512 (I),доц. Ордина Ольга Николаевна
62,24.02.2022четверг,12.2,13.5,лекция,ЗФЭ-1911,,Методы исследования в экономике,12,513 (I),проф. Высоцкая Наталия Владимировна
63,24.02.2022четверг,14.3,16.0,прак. занятие,ЗФЭ-1911,,Методы исследования в экономике,12,513 (I),проф. Высоцкая Наталия Владимировна
64,25.02.2022пятница,9.0,10.3,лекция,ЗФЭ-1911,,Бюджетирование в финансовой деятельности,12,342 (I),доц. Евдокимова Екатерина Наумовна
65,25.02.2022пятница,10.4,12.1,лекция,ЗФЭ-1911,,Бюджетирование в финансовой деятельности,12,342 (I),доц. Евдокимова Екатерина Наумовна
66,25.02.2022пятница,12.2,13.5,лекция,ЗФЭ-1911,,Финансовая безопасность,12,269 (II),доц. Веригина Анастасия Валентиновна
67,25.02.2022пятница,14.3,16.0,прак. занятие,ЗФЭ-1911,,Финансовая безопасность,12,269 (II),доц. Веригина Анастасия Валентиновна
68,25.02.2022пятница,16.1,16.55,консультация,ЗФЭ-1911,,Макроэкономика (продвинутый уровень),12,269 (II),доц. Маскаева Евгения Аркадьевна
69,26.02.2022суббота,9.0,10.3,лекция,ЗФЭ-1911,,Микроэкономика (продвинутый уровень),12,,доц. Маскаев Станислав Аркадьевич
70,26.02.2022суббота,10.4,12.1,прак. занятие,ЗФЭ-1911,,Микроэкономика (продвинутый уровень),12,,доц. Маскаев Станислав Аркадьевич
71,26.02.2022суббота,12.2,13.5,прак. занятие,ЗФЭ-1911,,Микроэкономика (продвинутый уровень),12,,доц. Маскаев Станислав Аркадьевич
72,28.02.2022понедельник,9.0,10.3,лекция,ЗФЭ-1911,,Актуальные проблемы правового обеспечения профессиональной деятельности,12,269 (II),доц. Ордина Ольга Николаевна
73,28.02.2022понедельник,10.4,12.1,прак. занятие,ЗФЭ-1911,,Актуальные проблемы правового обеспечения профессиональной деятельности,12,269 (II),доц. Ордина Ольга Николаевна
74,28.02.2022понедельник,12.2,13.5,лекция,ЗФЭ-1911,,Методы исследования в экономике,12,269 (II),проф. Высоцкая Наталия Владимировна
75,28.02.2022понедельник,14.3,16.0,прак. занятие,ЗФЭ-1911,,Методы исследования в экономике,12,269 (II),проф. Высоцкая Наталия Владимировна
76,28.02.2022понедельник,16.1,16.55,консультация,ЗФЭ-1911,,Управление экономическими рисками,12,269 (II),доц. Никифорова Анна Николаевна
77,01.03.2022вторник,9.0,10.3,прак. занятие,ЗФЭ-1911,,Бюджетирование в финансовой деятельности,12,,доц. Евдокимова Екатерина Наумовна
78,01.03.2022вторник,10.4,12.1,прак. занятие,ЗФЭ-1911,,Бюджетирование в финансовой деятельности,12,,доц. Евдокимова Екатерина Наумовна
79,01.03.2022вторник,12.2,13.5,зачет,ЗФЭ-1911,,Проведение деловых и научных презентаций,12,268 (II),проф. Баринова Галина Викторовна
80,01.03.2022вторник,14.3,16.0,экзамен,ЗФЭ-1911,,Макроэкономика (продвинутый уровень),12,268 (II),доц. Маскаева Евгения Аркадьевна
81,01.03.2022вторник,16.1,17.4,экзамен,ЗФЭ-1911,,Макроэкономика (продвинутый уровень),12,268 (II),доц. Маскаева Евгения Аркадьевна
82,02.03.2022среда,9.0,10.3,прак. занятие,ЗФЭ-1911,,Бюджетирование в финансовой деятельности,12,,доц. Евдокимова Екатерина Наумовна
83,02.03.2022среда,10.4,12.1,прак. занятие,ЗФЭ-1911,,Бюджетирование в финансовой деятельности,12,,доц. Евдокимова Екатерина Наумовна
