№ п/п,Наименование,Адрес,"Площадь, кв.м.",Год,Категория,Статья расходов,Источник,"Расходы, руб."
11,Здание столярной мастерской,"Московская область, г. Пушкино, мкр-н Мамонтовка, ул. Октябрьская, д. 23",67.1,2020,балласт,Подготовка к зиме , внебюджет,1424.7348482569207
12,Здание трансформаторной подстанции,"Московская область, г. Пушкино, мкр-н Мамонтовка, ул. Октябрьская, д. 23",43.9,2020,балласт,Вывоз мусора , бюджет,0.0
12,Здание трансформаторной подстанции,"Московская область, г. Пушкино, мкр-н Мамонтовка, ул. Октябрьская, д. 23",43.9,2020,балласт,Вывоз мусора , внебюджет,84.07379512614591
12,Здание трансформаторной подстанции,"Московская область, г. Пушкино, мкр-н Мамонтовка, ул. Октябрьская, д. 23",43.9,2020,балласт,"Утилизация отходов, обезвреживание, утилизация объектов ", бюджет,0.0
12,Здание трансформаторной подстанции,"Московская область, г. Пушкино, мкр-н Мамонтовка, ул. Октябрьская, д. 23",43.9,2020,балласт,"Утилизация отходов, обезвреживание, утилизация объектов ", внебюджет,18.361516937349165
12,Здание трансформаторной подстанции,"Московская область, г. Пушкино, мкр-н Мамонтовка, ул. Октябрьская, д. 23",43.9,2020,балласт,Подготовка к зиме , бюджет,1453.8014939287775
12,Здание трансформаторной подстанции,"Московская область, г. Пушкино, мкр-н Мамонтовка, ул. Октябрьская, д. 23",43.9,2020,балласт,Подготовка к зиме , внебюджет,932.1290586956607
13,Здание котельной с пристроенным душем,"Московская обл., Пушкинский р-н, город Пушкино, м-н Мамонтовка, ул. Октябрьская, 23",93.8,2020,балласт,Вывоз мусора , бюджет,0.0
13,Здание котельной с пристроенным душем,"Московская обл., Пушкинский р-н, город Пушкино, м-н Мамонтовка, ул. Октябрьская, 23",93.8,2020,балласт,Вывоз мусора , внебюджет,179.63831395973773
13,Здание котельной с пристроенным душем,"Московская обл., Пушкинский р-н, город Пушкино, м-н Мамонтовка, ул. Октябрьская, 23",93.8,2020,балласт,"ТО газовой котельни, оборудовани\ ", бюджет,0.0
13,Здание котельной с пристроенным душем,"Московская обл., Пушкинский р-н, город Пушкино, м-н Мамонтовка, ул. Октябрьская, 23",93.8,2020,балласт,"ТО газовой котельни, оборудовани\ ", внебюджет,277200.0
13,Здание котельной с пристроенным душем,"Московская обл., Пушкинский р-н, город Пушкино, м-н Мамонтовка, ул. Октябрьская, 23",93.8,2020,балласт,"Утилизация отходов, обезвреживание, утилизация объектов ", бюджет,0.0
13,Здание котельной с пристроенным душем,"Московская обл., Пушкинский р-н, город Пушкино, м-н Мамонтовка, ул. Октябрьская, 23",93.8,2020,балласт,"Утилизация отходов, обезвреживание, утилизация объектов ", внебюджет,39.232580608732384
13,Здание котельной с пристроенным душем,"Московская обл., Пушкинский р-н, город Пушкино, м-н Мамонтовка, ул. Октябрьская, 23",93.8,2020,балласт,Подготовка к зиме , бюджет,3106.3002307635384
13,Здание котельной с пристроенным душем,"Московская обл., Пушкинский р-н, город Пушкино, м-н Мамонтовка, ул. Октябрьская, 23",93.8,2020,балласт,Подготовка к зиме , внебюджет,1991.656166415785
14,Здание склада,"Московская обл., Пушкинский р-н, город Пушкино, м-н Мамонтовка, ул. Октябрьская, 23",53.7,2020,балласт,Вывоз мусора , бюджет,0.0
14,Здание склада,"Московская обл., Пушкинский р-н, город Пушкино, м-н Мамонтовка, ул. Октябрьская, 23",53.7,2020,балласт,Вывоз мусора , внебюджет,102.84197718164091
14,Здание склада,"Московская обл., Пушкинский р-н, город Пушкино, м-н Мамонтовка, ул. Октябрьская, 23",53.7,2020,балласт,"Утилизация отходов, обезвреживание, утилизация объектов ", бюджет,0.0
14,Здание склада,"Московская обл., Пушкинский р-н, город Пушкино, м-н Мамонтовка, ул. Октябрьская, 23",53.7,2020,балласт,"Утилизация отходов, обезвреживание, утилизация объектов ", внебюджет,22.460443269604788
14,Здание склада,"Московская обл., Пушкинский р-н, город Пушкино, м-н Мамонтовка, ул. Октябрьская, 23",53.7,2020,балласт,Подготовка к зиме , бюджет,1778.3403240085502
14,Здание склада,"Московская обл., Пушкинский р-н, город Пушкино, м-н Мамонтовка, ул. Октябрьская, 23",53.7,2020,балласт,Подготовка к зиме , внебюджет,1140.2125387689516
15,Здание гаража,"Московская область, г. Пушкино, мкр-н Мамонтовка, ул. Октябрьская, д. 23",454.3,2020,балласт,Вывоз мусора , бюджет,0.0
15,Здание гаража,"Московская область, г. Пушкино, мкр-н Мамонтовка, ул. Октябрьская, д. 23",454.3,2020,балласт,Вывоз мусора , внебюджет,870.0392967154463
15,Здание гаража,"Московская область, г. Пушкино, мкр-н Мамонтовка, ул. Октябрьская, д. 23",454.3,2020,балласт,"Утилизация отходов, обезвреживание, утилизация объектов ", бюджет,0.0
15,Здание гаража,"Московская область, г. Пушкино, мкр-н Мамонтовка, ул. Октябрьская, д. 23",454.3,2020,балласт,"Утилизация отходов, обезвреживание, утилизация объектов ", внебюджет,190.01451354527848
15,Здание гаража,"Московская область, г. Пушкино, мкр-н Мамонтовка, ул. Октябрьская, д. 23",454.3,2020,балласт,Подготовка к зиме , бюджет,15044.692908698033
15,Здание гаража,"Московская область, г. Пушкино, мкр-н Мамонтовка, ул. Октябрьская, д. 23",454.3,2020,балласт,Подготовка к зиме , внебюджет,9646.155611968989
16,Здание сарая для стоянки автомашин,"Московская обл., Пушкинский р-н, город Пушкино, м-н Мамонтовка, ул. Октябрьская, 23",91.0,2020,балласт,Вывоз мусора , бюджет,0.0
16,Здание сарая для стоянки автомашин,"Московская обл., Пушкинский р-н, город Пушкино, м-н Мамонтовка, ул. Октябрьская, 23",91.0,2020,балласт,Вывоз мусора , внебюджет,174.27597622959632
16,Здание сарая для стоянки автомашин,"Московская обл., Пушкинский р-н, город Пушкино, м-н Мамонтовка, ул. Октябрьская, 23",91.0,2020,балласт,"Утилизация отходов, обезвреживание, утилизация объектов ", бюджет,0.0
16,Здание сарая для стоянки автомашин,"Московская обл., Пушкинский р-н, город Пушкино, м-н Мамонтовка, ул. Октябрьская, 23",91.0,2020,балласт,"Утилизация отходов, обезвреживание, утилизация объектов ", внебюджет,38.06145879951649
16,Здание сарая для стоянки автомашин,"Московская обл., Пушкинский р-н, город Пушкино, м-н Мамонтовка, ул. Октябрьская, 23",91.0,2020,балласт,Подготовка к зиме , бюджет,3013.574850740746
16,Здание сарая для стоянки автомашин,"Московская обл., Пушкинский р-н, город Пушкино, м-н Мамонтовка, ул. Октябрьская, 23",91.0,2020,балласт,Подготовка к зиме , внебюджет,1932.203743537702
17,Здание котельной,"Московская область, г. Пушкино, мкр-н Мамонтовка, ул. Октябрьская, д. 23",420.5,2020,балласт,Вывоз мусора , бюджет,0.0
17,Здание котельной,"Московская область, г. Пушкино, мкр-н Мамонтовка, ул. Октябрьская, д. 23",420.5,2020,балласт,Вывоз мусора , внебюджет,805.3082198301676
17,Здание котельной,"Московская область, г. Пушкино, мкр-н Мамонтовка, ул. Октябрьская, д. 23",420.5,2020,балласт,"ТО газовой котельни, оборудовани\ ", бюджет,0.0
17,Здание котельной,"Московская область, г. Пушкино, мкр-н Мамонтовка, ул. Октябрьская, д. 23",420.5,2020,балласт,"ТО газовой котельни, оборудовани\ ", внебюджет,30000.0
17,Здание котельной,"Московская область, г. Пушкино, мкр-н Мамонтовка, ул. Октябрьская, д. 23",420.5,2020,балласт,"Утилизация отходов, обезвреживание, утилизация объектов ", бюджет,0.0
17,Здание котельной,"Московская область, г. Пушкино, мкр-н Мамонтовка, ул. Октябрьская, д. 23",420.5,2020,балласт,"Утилизация отходов, обезвреживание, утилизация объектов ", внебюджет,175.87740027688665
17,Здание котельной,"Московская область, г. Пушкино, мкр-н Мамонтовка, ул. Октябрьская, д. 23",420.5,2020,балласт,Подготовка к зиме , бюджет,13925.365106994328
17,Здание котельной,"Московская область, г. Пушкино, мкр-н Мамонтовка, ул. Октябрьская, д. 23",420.5,2020,балласт,Подготовка к зиме , внебюджет,8928.479935797843
18,Здание КПП,"Московская обл., Пушкинский р-н, город Пушкино, м-н Мамонтовка, ул. Октябрьская, 23",9.8,2020,балласт,Вывоз мусора , бюджет,0.0
18,Здание КПП,"Московская обл., Пушкинский р-н, город Пушкино, м-н Мамонтовка, ул. Октябрьская, 23",9.8,2020,балласт,Вывоз мусора , внебюджет,18.76818205549499
18,Здание КПП,"Московская обл., Пушкинский р-н, город Пушкино, м-н Мамонтовка, ул. Октябрьская, 23",9.8,2020,балласт,ТО ворот и шлагбаумов , бюджет,0.0
18,Здание КПП,"Московская обл., Пушкинский р-н, город Пушкино, м-н Мамонтовка, ул. Октябрьская, 23",9.8,2020,балласт,ТО ворот и шлагбаумов , внебюджет,15073.170731707318
18,Здание КПП,"Московская обл., Пушкинский р-н, город Пушкино, м-н Мамонтовка, ул. Октябрьская, 23",9.8,2020,балласт,"Утилизация отходов, обезвреживание, утилизация объектов ", бюджет,0.0
18,Здание КПП,"Московская обл., Пушкинский р-н, город Пушкино, м-н Мамонтовка, ул. Октябрьская, 23",9.8,2020,балласт,"Утилизация отходов, обезвреживание, утилизация объектов ", внебюджет,4.098926332255623
18,Здание КПП,"Московская обл., Пушкинский р-н, город Пушкино, м-н Мамонтовка, ул. Октябрьская, 23",9.8,2020,балласт,Подготовка к зиме , бюджет,324.53883007977265
18,Здание КПП,"Московская обл., Пушкинский р-н, город Пушкино, м-н Мамонтовка, ул. Октябрьская, 23",9.8,2020,балласт,Подготовка к зиме , внебюджет,208.08348007329099
19,Здание овощехранилища,"Московская обл., г. Пушкино, мрн.Мамонтовка, ул. Октябрьская, 23",441.8,2020,балласт,Вывоз мусора , бюджет,0.0
19,Здание овощехранилища,"Московская обл., г. Пушкино, мрн.Мамонтовка, ул. Октябрьская, 23",441.8,2020,балласт,Вывоз мусора , внебюджет,846.1002889916006
19,Здание овощехранилища,"Московская обл., г. Пушкино, мрн.Мамонтовка, ул. Октябрьская, 23",441.8,2020,балласт,"Утилизация отходов, обезвреживание, утилизация объектов ", бюджет,0.0
19,Здание овощехранилища,"Московская обл., г. Пушкино, мрн.Мамонтовка, ул. Октябрьская, 23",441.8,2020,балласт,"Утилизация отходов, обезвреживание, утилизация объектов ", внебюджет,184.78629118270754
19,Здание овощехранилища,"Московская обл., г. Пушкино, мрн.Мамонтовка, ул. Октябрьская, 23",441.8,2020,балласт,Подготовка к зиме , бюджет,14630.740319310567
19,Здание овощехранилища,"Московская обл., г. Пушкино, мрн.Мамонтовка, ул. Октябрьская, 23",441.8,2020,балласт,Подготовка к зиме , внебюджет,9380.743009834689
20,Здание учебного корпуса,"129626, г. Москва, р-н Алексеевский, Кучин пер., д. 14,стр. 1",4528.4,2020,Учебные корпуса,"Охрана и ТО, пожарная сигнализация ", бюджет,73451.22121333034
20,Здание учебного корпуса,"129626, г. Москва, р-н Алексеевский, Кучин пер., д. 14,стр. 1",4528.4,2020,Учебные корпуса,"Охрана и ТО, пожарная сигнализация ", внебюджет,543724.5007773752
20,Здание учебного корпуса,"129626, г. Москва, р-н Алексеевский, Кучин пер., д. 14,стр. 1",4528.4,2020,Учебные корпуса,Вывоз мусора , бюджет,25207.001450053856
20,Здание учебного корпуса,"129626, г. Москва, р-н Алексеевский, Кучин пер., д. 14,стр. 1",4528.4,2020,Учебные корпуса,Вывоз мусора , внебюджет,27072.31955735784
20,Здание учебного корпуса,"129626, г. Москва, р-н Алексеевский, Кучин пер., д. 14,стр. 1",4528.4,2020,Учебные корпуса,Уборка , бюджет,0.0
20,Здание учебного корпуса,"129626, г. Москва, р-н Алексеевский, Кучин пер., д. 14,стр. 1",4528.4,2020,Учебные корпуса,Уборка , внебюджет,2980.1011310491226
20,Здание учебного корпуса,"129626, г. Москва, р-н Алексеевский, Кучин пер., д. 14,стр. 1",4528.4,2020,Учебные корпуса,Дератизация и дезинфекция , бюджет,0.0
20,Здание учебного корпуса,"129626, г. Москва, р-н Алексеевский, Кучин пер., д. 14,стр. 1",4528.4,2020,Учебные корпуса,Дератизация и дезинфекция , внебюджет,11426.14436541357
20,Здание учебного корпуса,"129626, г. Москва, р-н Алексеевский, Кучин пер., д. 14,стр. 1",4528.4,2020,Учебные корпуса,"ТО вентиляции, системы дымоудаления ", бюджет,0.0
20,Здание учебного корпуса,"129626, г. Москва, р-н Алексеевский, Кучин пер., д. 14,стр. 1",4528.4,2020,Учебные корпуса,"ТО вентиляции, системы дымоудаления ", внебюджет,41000.0
20,Здание учебного корпуса,"129626, г. Москва, р-н Алексеевский, Кучин пер., д. 14,стр. 1",4528.4,2020,Учебные корпуса,ТО кондиционеров , бюджет,0.0
20,Здание учебного корпуса,"129626, г. Москва, р-н Алексеевский, Кучин пер., д. 14,стр. 1",4528.4,2020,Учебные корпуса,ТО кондиционеров , внебюджет,16000.0
